nome,link
 New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Single-Family Units,https://fred.stlouisfed.org/series/PERMIT1
Median Sales Price for New Houses Sold in the United States ,"https://fred.stlouisfed.org/series/MSPNHSUS"
New One Family Houses Sold: United States,https://fred.stlouisfed.org/series/HSN1F
 Monthly Supply of New Houses in the United States,https://fred.stlouisfed.org/series/MSACSR    
 Average Sales Price for New Houses Sold in the United States,https://fred.stlouisfed.org/series/ASPNHSUS
 New One Family Homes for Sale in the United States,https://fred.stlouisfed.org/series/HNFSEPUSSA
Existing Home Sales,https://fred.stlouisfed.org/series/EXHOSLUSM495S
 Median Sales Price of Existing Homes,https://fred.stlouisfed.org/series/HOSMEDUSM052N
 Existing Single-Family Home Sales,https://fred.stlouisfed.org/series/EXSFHSUSM495S
Median Sales Price of Existing Single-Family Homes,https://fred.stlouisfed.org/series/HSFMEDUSM052N
 S&P/Case-Shiller U.S. National Home Price Index,https://fred.stlouisfed.org/series/CSUSHPISA
"Trade Balance: Goods and Services, Balance of Payments Basis",https://fred.stlouisfed.org/series/BOPGSTB
" Trade Balance: Goods, Balance of Payments Basis",https://fred.stlouisfed.org/series/BOPGTB
Advance U.S. International Trade in Goods: Balance,https://fred.stlouisfed.org/series/AITGCBS
 Export Price Index (End Use): All Commodities,https://fred.stlouisfed.org/series/IQ
" Export Price Index (Harmonized System): Polymers of Ethylene, in Primary Forms ",https://fred.stlouisfed.org/series/ID3901
 Export Price Index (End Use): Nonmonetary Gold,https://fred.stlouisfed.org/series/IQ12260
 Net Exports of Goods and Services ,https://fred.stlouisfed.org/series/NETEXP
Real Net Exports of Goods and Services,https://fred.stlouisfed.org/series/NETEXC
 Exports of Goods and Services ,https://fred.stlouisfed.org/series/EXPGS
 Export Price Index (NAICS): Semiconductor and Other Electronic Component Manufacturing,https://fred.stlouisfed.org/series/IY3344
 Imports of Goods and Services ,https://fred.stlouisfed.org/series/IMPGS  
 Real Imports of Goods and Services,https://fred.stlouisfed.org/series/ND000342Q
 Import Price Index (End Use): All Commodities ,https://fred.stlouisfed.org/series/IR
 Real imports of goods and services,https://fred.stlouisfed.org/series/IMPGSC1
Producer Price Index by Commodity: Transportation Services: Air Transportation of Freight,https://fred.stlouisfed.org/series/WPU3014
"All Employees, Air Transportation ",https://fred.stlouisfed.org/series/CES4348100001
Producer Price Index by Industry: Scheduled Passenger Air Transportation,https://fred.stlouisfed.org/series/PCU481111481111
"Import Price Index (Harmonized System): Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes",https://fred.stlouisfed.org/series/IP28
Producer Price Index by Commodity: Nonmetallic Mineral Products: Ground or Treated Minerals and Earths,https://fred.stlouisfed.org/series/WPU13990209
"Producer Price Index by Commodity: Nonmetallic Mineral Products: Treated Lightweight Aggregate and Crushed Slag, Minerals and Earths",https://fred.stlouisfed.org/series/WPU139902094
Revolving Consumer Credit Owned and Securitized,https://fred.stlouisfed.org/series/REVOLSL
"Revolving Consumer Credit Owned and Securitized, Flow ",https://fred.stlouisfed.org/series/FLREVOLSL 
 Revolving Consumer Credit Owned and Securitized by Depository Institutions,https://fred.stlouisfed.org/series/DTCTLRHDNM
 Revolving Consumer Credit Owned and Securitized by Nonfinancial Business,https://fred.stlouisfed.org/series/DTCTLRHNNM
 Revolving Consumer Credit Owned and Securitized by Finance Companies,https://fred.stlouisfed.org/series/G19DTCTLRHFNM
Federal Funds Effective Rate,https://fred.stlouisfed.org/series/FEDFUNDS
 National Deposit Rates: Savings,https://fred.stlouisfed.org/series/SNDR
Bank Prime Loan Rate Changes: Historical Dates of Changes and Rates,https://fred.stlouisfed.org/series/PRIME
" Interest Rates and Price Indexes; Commercial Real Estate Price Index, Level ",https://fred.stlouisfed.org/series/BOGZ1FL075035503Q
 Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for United States ,https://fred.stlouisfed.org/series/IR3TIB01USM156N
 University of Michigan: Consumer Sentiment ,https://fred.stlouisfed.org/series/UMCSENT
"Interest Rates and Price Indexes; 10-Year Treasury Yield, Level",https://fred.stlouisfed.org/series/BOGZ1FL073161113Q
 ICE BofA US High Yield Index Effective Yield,https://fred.stlouisfed.org/series/BAMLH0A0HYM2EY
" Interest Rates and Price Indexes; 3-Month Treasury Yield, Level",https://fred.stlouisfed.org/series/BOGZ1FL073161133Q
 Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for United States ,https://fred.stlouisfed.org/series/IR3TIB01USM156N
 Moody's Seasoned Baa Corporate Bond Yield,https://fred.stlouisfed.org/series/DBAA
Moody's Seasoned Aaa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity,https://fred.stlouisfed.org/series/AAA10Y
" Interest Rates and Price Indexes; 3-Month Treasury Yield, Level ",https://fred.stlouisfed.org/series/BOGZ1FL073161133Q
Liabilities and Capital: Other Factors Draining Reserve Balances: Reserve Balances with Federal Reserve Banks: Week Average,https://fred.stlouisfed.org/series/WRESBAL
 Interest Rate on Reserve Balances,https://fred.stlouisfed.org/series/IORB
 Assets: Total Assets: Total Assets (Less Eliminations from Consolidation): Wednesday Level,https://fred.stlouisfed.org/series/WALCL
 Currency in Circulation ,https://fred.stlouisfed.org/series/CURRCIR
Monetary Base; Reserve Balances,https://fred.stlouisfed.org/series/BOGMBBM
 Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United States,"https://fred.stlouisfed.org/series/IRLTLT01USM156N"
Corporate Profits After Tax (without IVA and CCAdj),https://fred.stlouisfed.org/series/CP
 National income: Corporate profits before tax (without IVA and CCAdj),https://fred.stlouisfed.org/series/A053RC1Q027SBEA
Corporate Profits After Tax with Inventory Valuation Adjustment (IVA) and Capital Consumption Adjustment (CCAdj),https://fred.stlouisfed.org/series/CPATAX
Nonfinancial Corporate Business: Profits After Tax (without IVA and CCAdj),https://fred.stlouisfed.org/series/NFCPATAX
